Date,Open,High,Low,Close,Adj Close,Volume
11/11/2020,27.110001,27.549999,26.690001,27.07,26.9226,49200
11/12/2020,26.99,27.379999,26.52,27.18,27.032003,68800
11/13/2020,27.360001,28.1,27.219999,27.879999,27.728189,60800
11/16/2020,28.530001,29.719999,28.25,29.219999,29.060894,134300
11/17/2020,29.299999,29.790001,28.73,28.92,28.762527,57200
11/18/2020,28.93,29.280001,28.610001,28.610001,28.454216,52200
11/19/2020,28.58,28.99,28.33,28.719999,28.563616,46300
11/20/2020,28.68,29,28.120001,28.889999,28.732691,63000
11/23/2020,29.24,29.389999,28.82,28.9,28.742636,58500
11/24/2020,29.15,29.5,28.950001,29.23,29.070839,112600
11/25/2020,29.1,29.27,28.540001,28.809999,28.653128,70000
11/27/2020,28.74,28.780001,28,28.459999,28.305031,28800
11/30/2020,28.389999,28.389999,27.15,27.209999,27.061838,108500
12/1/2020,27.35,28.76,27.309999,27.870001,27.718246,96000
12/2/2020,27.700001,27.860001,27.209999,27.690001,27.539227,55600
12/3/2020,27.74,28.17,27.6,27.73,27.579006,42700
12/4/2020,27.91,28.700001,27.879999,28.65,28.493998,43900
12/7/2020,28.639999,28.799999,28.290001,28.540001,28.384598,58300
12/8/2020,28.32,29.379999,28.23,29.26,29.100676,114400
12/9/2020,29.48,30.610001,29.379999,29.85,29.687466,177100
12/10/2020,31.99,31.99,29.9,30.719999,30.552727,262000
12/11/2020,30.610001,30.700001,29.639999,29.709999,29.548225,107400
12/14/2020,30.15,30.27,29.110001,29.450001,29.289642,100400
12/15/2020,29.77,29.77,29.370001,29.5,29.339371,83000
12/16/2020,29.51,29.540001,28.780001,29.049999,28.891819,91200
12/17/2020,29.01,29.780001,28.780001,29.75,29.588009,135100
12/18/2020,29.809999,30.559999,29.34,30,29.836647,232800
12/21/2020,29.799999,30.42,29.299999,30.200001,30.035559,92500
12/22/2020,30.33,30.610001,29.99,30.51,30.34387,71200
12/23/2020,30.549999,31.110001,30.379999,30.49,30.323978,81300
12/24/2020,30.709999,30.950001,30.280001,30.84,30.672073,29900
12/28/2020,31,31.59,30.99,31.4,31.229023,86500
12/29/2020,31.299999,31.75,30.42,30.76,30.592508,80400
12/30/2020,31.059999,31.67,30.889999,30.940001,30.771528,46500
12/31/2020,31,31.540001,30.91,31.32,31.149458,53200
1/4/2021,31.52,31.620001,30.709999,30.969999,30.801365,77900
1/5/2021,31,32.02,31,31.809999,31.636791,94900
1/6/2021,32.049999,34,32.049999,33.43,33.247971,157100
1/7/2021,34,34.43,33.66,33.98,33.794975,117700
1/8/2021,34.110001,34.18,33.25,33.630001,33.446884,92400
1/11/2021,33.25,33.91,33,33.119999,32.939655,78600
1/12/2021,33.369999,33.720001,33,33.240002,33.059006,82100
1/13/2021,33.130001,33.41,32.830002,33.349998,33.168404,76100
1/14/2021,33.619999,34.07,33.450001,33.939999,33.755192,90700
1/15/2021,33.689999,34.099998,33.169998,33.619999,33.436935,60100
1/19/2021,33.98,34.57,33.790001,34.02,33.834759,76900
1/20/2021,33.950001,34.639999,33.950001,34.41,34.222633,101600
1/21/2021,34.459999,35.02,34.400002,34.57,34.381763,95100
1/22/2021,34.259998,34.82,33.57,34.810001,34.620461,80700
1/25/2021,34.689999,35.41,34.349998,35.360001,35.167461,136800
1/26/2021,35.419998,36.119999,35.240002,35.98,35.784084,100900
1/27/2021,35.509998,35.630001,34.130001,34.73,34.54089,124600
1/28/2021,34.869999,34.869999,33.630001,33.669998,33.48666,118600
1/29/2021,33.59,34.23,32.990002,33.119999,32.939655,94000
2/1/2021,33.41,33.619999,33.110001,33.279999,33.098785,56100
2/2/2021,33.66,34.130001,33.380001,34.119999,33.934212,54700
2/3/2021,34.130001,34.349998,33.720001,33.98,33.794975,85300
2/4/2021,34.080002,35.240002,34.02,35,34.809422,59400
2/5/2021,35.259998,35.27,34.740002,35.110001,35.018879,49400
2/8/2021,35.330002,35.75,35.189999,35.75,35.657215,57100
2/9/2021,35.66,35.98,35.5,35.830002,35.737011,74500
